64.4	587.1	329.3	340.7	989.7	200.9	-260.3	-244.6	
956.8	73.4	139.1	-256	-407	-996.6	-904.4	-309.6	
558.2	-968.5	21.9	-335.9	-410.3	896	-342.8	67.1	
-890.1	-853.2	909	-349.5	-930.1	776.7	-96.4	183.1	
-644.9	746.4	-872.4	202.3	-463.4	-418.5	-102	-802.8	
-307.8	-269.9	5.1	673.1	797.4	937.4	687.8	-959.8	
418.1	-890.4	264.9	-936.5	-122.5	515	819.8	205.5	
-246.1	479.6	-154.2	176.3	-796.5	834.4	-450.6	326	
813	332.2	725.5	-36.2	565.6	-80.6	-712.8	-431	
-956.7	616.8	88.3	364.4	962.2	-105	742.7	-577.4	
1.1	-820.7	-405.9	-251.1	-378	54.2	421.8	570.4	
-812.3	-123.4	807.9	748.5	-968.4	-719.3	267	235	
637.4	181.1	203.2	462.3	683.1	913.1	-62.8	-804.9	
976.5	-805.4	630.8	596	-500.2	-447.4	601.6	433.4	
806.8	-390.1	-334.3	969.2	334.8	-295.5	215.8	912.2	
-939.6	48.8	-561	85.1	869.7	657.4	385.5	513	
191	-601.7	-268.7	283.9	-352.8	254	-698	498	
-327.1	928.9	-568.1	-83.7	35	82.1	859.3	-96.6	
-386.8	-804.1	-467.7	-189.9	599.3	287.3	-978.6	767.7	
-295.6	-278.3	677.8	-931.4	-242.9	243.1	-6.2	789.8	
87.7	-28.2	-628.1	-18	281.6	886.9	-559.9	-478.8	
-743.2	-777.2	-260.8	59.8	-71.1	603.1	-982.4	635.3	
952.8	-43.7	-368.8	-813.7	396.9	-168.8	634.9	697.2	
-433.3	-786.5	588.5	416.4	413.1	298.1	607.9	-774.8	
-705.3	-319.1	930.9	908.1	-367.2	-929.4	-28.7	-321.7	
384.9	716.9	-666.8	-849.9	-626.2	-599.2	435.1	486.3	
-471.6	-560.7	721.4	-756.9	-249.2	-348.9	-695.7	-426.5	
-376.1	315.2	-45.7	-399.2	591.7	-254.4	280.7	-590.4	
311.1	144.7	995.1	360.8	914.9	736	-964.9	72.2	
987.5	-9.9	-276.9	271.7	-863.9	26.8	410	-288.1	
-659.4	-764.3	-594.3	45.9	373.2	-201.7	-261.1	578	
-451	685.2	305.1	726.8	-209.7	-656.1	767	-930.7	
6.9	256	614.9	-572.4	810.9	-739.2	987.5	-613.7	
174.4	888.4	610.8	265.7	-236.3	-547.1	106.3	101.9	
299.8	973.3	-363.8	309.7	905.4	316.2	93.8	-338.4	
704.9	-252.5	497.3	-662.3	-909.5	869.4	-829.8	-774.5	
442.3	-871.7	325.9	778.6	-309.1	446.4	-410	-926.7	
566.9	-704.3	197.4	-125.4	-971.7	556.8	-272.4	-19.6	
-793.3	205.8	-478.1	255.5	176.3	42	-504.5	-288.2	
-476.9	373.4	461.7	157.6	-339.9	843.5	703.4	606.8	
-12.8	-284.1	-361.3	-644.6	-657	939.9	229.4	-478.8	
-298.4	-396.6	377.6	-176.3	-721.3	-505	-605.2	-183.7	
-269.1	-734.3	308.9	166.2	552.8	609.3	-243.8	-55	
722.8	-511	-272.6	385	-912.2	282.6	259.1	-44.5	
186.8	510.4	-981	139.6	-496.4	244.5	135.7	118.1	
601.9	-977.4	871.8	208.3	832.2	69.4	798.8	407.3	
-401.6	715.5	749.3	-226.6	-885.2	511	438.3	70.3	
-16.7	237.5	435.1	-710.2	-993.5	416.1	786.7	18.9	
-540.3	-464.8	578.3	-578.8	72.7	-542.3	-417.3	729.8	
-962.6	-411.5	123.9	812.8	-302	-596	-615.4	334	
557.8	876.4	310.9	384.7	-860.9	632	118.1	809.3	
803.6	-896	-983.9	-83.4	-716	14.6	-989.5	522	
-867.6	-178.5	-722.2	758.6	-505.7	599.4	-761.2	-644.8	
333.3	816.4	-403.1	887	-268.7	-38.6	652.3	-263.6	
626.5	-747.8	782.1	-329.8	373.2	365.4	-834.8	-193.1	
-110.9	699.7	883	-990.1	61.6	475	-147.7	-332	
266.2	796.4	121.5	-265.7	790.6	-554.3	-151	-878.5	
594.5	-912.8	-85.2	919	174.8	-253.7	435.5	465	
-360	909.4	334.6	-174.8	-656.7	-20.4	169.7	-639.8	
-594.1	-523.2	-907.8	833	-556.7	-649.4	-405	-763.5	
-811.1	-635.9	657.9	754.3	-447.1	-820.9	396.2	-191.4	
-13.3	-652.4	749.5	-238.3	-401.3	114.8	-972.1	50.8	
-212	637.7	-53.9	-856.6	-438.5	-876.6	-727.7	-290.6	
-837.6	399.9	866.9	915.5	659.8	389.1	-528.4	592.2	
83.2	-517	768.2	-239.5	-579.8	-715.6	-538.3	-216.3	
-436.5	-315.6	600.6	-361.7	765.8	311.8	-361.4	147.9	
814.3	655.7	210.4	-686.3	-571.2	571.9	-679.4	-415.2	
-71.6	-515	-794.8	-261.1	743	-274	-6.6	-771.6	
-979.9	-488.5	938.5	218.5	-925.6	-336.1	-129.7	26.9	
-170.9	-678.5	817.5	-737.1	-378.8	-29.8	-762.6	-750.4	
916.3	-566.3	-926.9	163.6	705.4	307.2	-820.1	999.9	
-641	-420.6	-427.3	122.7	-712	-828.6	449.1	822	
535.8	222.8	-320.3	-314.3	-416.5	458.8	294.5	573.7	
-299.7	351	607.1	437.4	-7.7	171	119.3	-266.5	
907.2	528.9	-669.4	910.7	-256.5	-429.2	457.5	902.2	
-194.2	683.1	323.3	-716.3	866.1	-206.2	443.2	737.8	
573.9	-588.1	547.8	-529.6	-609.7	-514.8	682.9	224.7	
-925.2	36.6	240.9	-234.7	562	566.3	-284.3	-122.7	
348.9	65.5	701.5	-990.7	-260.2	-583.1	893.5	150.4	
373.2	870	-736	347.1	564.5	-741.1	213.9	870.9	
821.9	321.1	-94.2	674.7	-422.5	-319.7	679.6	612.2	
236.8	-474.9	120	643.5	947.1	985.9	349.6	-349	
-737.1	-342	961.5	486	-778.3	540.4	747.3	-193.7	
-372.9	-576.2	74.5	583.5	-421.6	-292.5	275	558.8	
-383.5	-53.7	290.8	-57.9	-922.4	418.5	766.6	526.4	
-48.5	-236.5	268.5	-37.1	-674.2	582.9	234.8	398.9	
668.3	46.8	-219.3	315	-852.8	-551.8	-834	214.5	
303.8	758.3	699.5	858.5	274.5	885.7	68.7	80.3	
122.9	339.3	-263.8	346.6	-707.4	397.5	-529.5	-363.4	
-11.7	-517.5	308	383.2	341.6	-698	-345.9	854	
649.9	-656.4	594.1	823.2	868.8	-868.5	268.2	226.8	
85	25.6	938.1	698.4	-880.4	114.7	-177.6	996.5	
402.5	811.5	945.7	-332	812.3	601.5	-475.5	-326.8	
-356.8	-791.2	244.1	775.6	-966.3	227.2	-84.3	-822.4	
-81.6	979	-464.4	520.4	-634.1	103.6	698.7	281.1	
56.7	405	489.1	-810.6	-372.8	-392.8	644.1	786.8	
95.8	-960.3	987.5	736.7	-967.7	910.3	-9.6	901.2	
349.9	342.5	581.9	570.7	280.8	647.8	-13.6	-808.8	
567.9	237.2	-886.7	-190	-808.9	-2.8	173.2	-910.3	
-727.6	-147.4	574.3	-72.1	-691.9	-672.6	705	695	
643.7	917.5	-736	-14.5	315.2	666.8	-804	-578.2	
-567.5	-555.7	-623.1	-465.6	2.9	547	903.8	360.5	
-447.1	-431.5	500.4	-26.1	-273.3	-237.7	-618.4	679	
986.3	544.1	-660.1	-659.7	-720.4	274	-809.8	361.9	
-972.2	847.5	-929.8	410.3	-201.9	294.9	727.8	660.6	
